field_name,short_description,long_description
HH_byBike_rel_Northern_Davis_County,"Relative access to households by bike vs Northern Davis County","Zone HH_byBike divided by the Northern Davis County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Northern_Davis_County,"Relative access to households by walk vs Northern Davis County","Zone HH_byWalk divided by the Northern Davis County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Northern_Salt_Lake_County,"Relative access to jobs by auto vs Northern Salt Lake County","Zone Job_byAuto divided by the Northern Salt Lake County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Northern_Salt_Lake_County,"Relative access to jobs by transit vs Northern Salt Lake County","Zone Job_byTran divided by the Northern Salt Lake County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Northern_Salt_Lake_County,"Relative access to jobs by bike vs Northern Salt Lake County","Zone Job_byBike divided by the Northern Salt Lake County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Northern_Salt_Lake_County,"Relative access to jobs by walk vs Northern Salt Lake County","Zone Job_byWalk divided by the Northern Salt Lake County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Northern_Salt_Lake_County,"Relative access to households by auto vs Northern Salt Lake County","Zone HH_byAuto divided by the Northern Salt Lake County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Northern_Salt_Lake_County,"Relative access to households by transit vs Northern Salt Lake County","Zone HH_byTran divided by the Northern Salt Lake County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_Northern_Salt_Lake_County,"Relative access to households by bike vs Northern Salt Lake County","Zone HH_byBike divided by the Northern Salt Lake County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Northern_Salt_Lake_County,"Relative access to households by walk vs Northern Salt Lake County","Zone HH_byWalk divided by the Northern Salt Lake County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Northern_Weber_County,"Relative access to jobs by auto vs Northern Weber County","Zone Job_byAuto divided by the Northern Weber County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Northern_Weber_County,"Relative access to jobs by transit vs Northern Weber County","Zone Job_byTran divided by the Northern Weber County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Northern_Weber_County,"Relative access to jobs by bike vs Northern Weber County","Zone Job_byBike divided by the Northern Weber County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Northern_Weber_County,"Relative access to jobs by walk vs Northern Weber County","Zone Job_byWalk divided by the Northern Weber County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Northern_Weber_County,"Relative access to households by auto vs Northern Weber County","Zone HH_byAuto divided by the Northern Weber County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Northern_Weber_County,"Relative access to households by transit vs Northern Weber County","Zone HH_byTran divided by the Northern Weber County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_Northern_Weber_County,"Relative access to households by bike vs Northern Weber County","Zone HH_byBike divided by the Northern Weber County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Northern_Weber_County,"Relative access to households by walk vs Northern Weber County","Zone HH_byWalk divided by the Northern Weber County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_South_Utah_County,"Relative access to jobs by auto vs South Utah County","Zone Job_byAuto divided by the South Utah County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_South_Utah_County,"Relative access to jobs by transit vs South Utah County","Zone Job_byTran divided by the South Utah County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_South_Utah_County,"Relative access to jobs by bike vs South Utah County","Zone Job_byBike divided by the South Utah County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_South_Utah_County,"Relative access to jobs by walk vs South Utah County","Zone Job_byWalk divided by the South Utah County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_South_Utah_County,"Relative access to households by auto vs South Utah County","Zone HH_byAuto divided by the South Utah County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_South_Utah_County,"Relative access to households by transit vs South Utah County","Zone HH_byTran divided by the South Utah County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_South_Utah_County,"Relative access to households by bike vs South Utah County","Zone HH_byBike divided by the South Utah County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_South_Utah_County,"Relative access to households by walk vs South Utah County","Zone HH_byWalk divided by the South Utah County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Southeast_Salt_Lake_County,"Relative access to jobs by auto vs Southeast Salt Lake County","Zone Job_byAuto divided by the Southeast Salt Lake County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Southeast_Salt_Lake_County,"Relative access to jobs by transit vs Southeast Salt Lake County","Zone Job_byTran divided by the Southeast Salt Lake County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Southeast_Salt_Lake_County,"Relative access to jobs by bike vs Southeast Salt Lake County","Zone Job_byBike divided by the Southeast Salt Lake County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Southeast_Salt_Lake_County,"Relative access to jobs by walk vs Southeast Salt Lake County","Zone Job_byWalk divided by the Southeast Salt Lake County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Southeast_Salt_Lake_County,"Relative access to households by auto vs Southeast Salt Lake County","Zone HH_byAuto divided by the Southeast Salt Lake County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Southeast_Salt_Lake_County,"Relative access to households by transit vs Southeast Salt Lake County","Zone HH_byTran divided by the Southeast Salt Lake County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_Southeast_Salt_Lake_County,"Relative access to households by bike vs Southeast Salt Lake County","Zone HH_byBike divided by the Southeast Salt Lake County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Southeast_Salt_Lake_County,"Relative access to households by walk vs Southeast Salt Lake County","Zone HH_byWalk divided by the Southeast Salt Lake County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Southern_Davis_County,"Relative access to jobs by auto vs Southern Davis County","Zone Job_byAuto divided by the Southern Davis County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Southern_Davis_County,"Relative access to jobs by transit vs Southern Davis County","Zone Job_byTran divided by the Southern Davis County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Southern_Davis_County,"Relative access to jobs by bike vs Southern Davis County","Zone Job_byBike divided by the Southern Davis County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Southern_Davis_County,"Relative access to jobs by walk vs Southern Davis County","Zone Job_byWalk divided by the Southern Davis County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Southern_Davis_County,"Relative access to households by auto vs Southern Davis County","Zone HH_byAuto divided by the Southern Davis County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Southern_Davis_County,"Relative access to households by transit vs Southern Davis County","Zone HH_byTran divided by the Southern Davis County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_Southern_Davis_County,"Relative access to households by bike vs Southern Davis County","Zone HH_byBike divided by the Southern Davis County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Southern_Davis_County,"Relative access to households by walk vs Southern Davis County","Zone HH_byWalk divided by the Southern Davis County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Southern_Weber_County,"Relative access to jobs by auto vs Southern Weber County","Zone Job_byAuto divided by the Southern Weber County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Southern_Weber_County,"Relative access to jobs by transit vs Southern Weber County","Zone Job_byTran divided by the Southern Weber County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Southern_Weber_County,"Relative access to jobs by bike vs Southern Weber County","Zone Job_byBike divided by the Southern Weber County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Southern_Weber_County,"Relative access to jobs by walk vs Southern Weber County","Zone Job_byWalk divided by the Southern Weber County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Southern_Weber_County,"Relative access to households by auto vs Southern Weber County","Zone HH_byAuto divided by the Southern Weber County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Southern_Weber_County,"Relative access to households by transit vs Southern Weber County","Zone HH_byTran divided by the Southern Weber County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_Southern_Weber_County,"Relative access to households by bike vs Southern Weber County","Zone HH_byBike divided by the Southern Weber County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Southern_Weber_County,"Relative access to households by walk vs Southern Weber County","Zone HH_byWalk divided by the Southern Weber County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Southwest_Salt_Lake_County,"Relative access to jobs by auto vs Southwest Salt Lake County","Zone Job_byAuto divided by the Southwest Salt Lake County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Southwest_Salt_Lake_County,"Relative access to jobs by transit vs Southwest Salt Lake County","Zone Job_byTran divided by the Southwest Salt Lake County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Southwest_Salt_Lake_County,"Relative access to jobs by bike vs Southwest Salt Lake County","Zone Job_byBike divided by the Southwest Salt Lake County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Southwest_Salt_Lake_County,"Relative access to jobs by walk vs Southwest Salt Lake County","Zone Job_byWalk divided by the Southwest Salt Lake County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Southwest_Salt_Lake_County,"Relative access to households by auto vs Southwest Salt Lake County","Zone HH_byAuto divided by the Southwest Salt Lake County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Southwest_Salt_Lake_County,"Relative access to households by transit vs Southwest Salt Lake County","Zone HH_byTran divided by the Southwest Salt Lake County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_Southwest_Salt_Lake_County,"Relative access to households by bike vs Southwest Salt Lake County","Zone HH_byBike divided by the Southwest Salt Lake County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Southwest_Salt_Lake_County,"Relative access to households by walk vs Southwest Salt Lake County","Zone HH_byWalk divided by the Southwest Salt Lake County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_West_Utah_County,"Relative access to jobs by auto vs West Utah County","Zone Job_byAuto divided by the West Utah County household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_West_Utah_County,"Relative access to jobs by transit vs West Utah County","Zone Job_byTran divided by the West Utah County household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_West_Utah_County,"Relative access to jobs by bike vs West Utah County","Zone Job_byBike divided by the West Utah County household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_West_Utah_County,"Relative access to jobs by walk vs West Utah County","Zone Job_byWalk divided by the West Utah County household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_West_Utah_County,"Relative access to households by auto vs West Utah County","Zone HH_byAuto divided by the West Utah County job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_West_Utah_County,"Relative access to households by transit vs West Utah County","Zone HH_byTran divided by the West Utah County job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_West_Utah_County,"Relative access to households by bike vs West Utah County","Zone HH_byBike divided by the West Utah County job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_West_Utah_County,"Relative access to households by walk vs West Utah County","Zone HH_byWalk divided by the West Utah County job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) within that geography. Values above 1 are above average and values below 1 are below average."
Job_byAuto_rel_Region,"Relative access to jobs by auto vs Region","Zone Job_byAuto divided by the Region household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) for all zones in the file. Values above 1 are above average and values below 1 are below average."
Job_byTran_rel_Region,"Relative access to jobs by transit vs Region","Zone Job_byTran divided by the Region household-weighted average for Job_byTran. The denominator is sum(act_Job_byTran) divided by sum(HH) for all zones in the file. Values above 1 are above average and values below 1 are below average."
Job_byBike_rel_Region,"Relative access to jobs by bike vs Region","Zone Job_byBike divided by the Region household-weighted average for Job_byBike. The denominator is sum(act_Job_byBike) divided by sum(HH) for all zones in the file. Values above 1 are above average and values below 1 are below average."
Job_byWalk_rel_Region,"Relative access to jobs by walk vs Region","Zone Job_byWalk divided by the Region household-weighted average for Job_byWalk. The denominator is sum(act_Job_byWalk) divided by sum(HH) for all zones in the file. Values above 1 are above average and values below 1 are below average."
HH_byAuto_rel_Region,"Relative access to households by auto vs Region","Zone HH_byAuto divided by the Region job-weighted average for HH_byAuto. The denominator is sum(act_HH_byAuto) divided by sum(Job) for all zones in the file. Values above 1 are above average and values below 1 are below average."
HH_byTran_rel_Region,"Relative access to households by transit vs Region","Zone HH_byTran divided by the Region job-weighted average for HH_byTran. The denominator is sum(act_HH_byTran) divided by sum(Job) for all zones in the file. Values above 1 are above average and values below 1 are below average."
HH_byBike_rel_Region,"Relative access to households by bike vs Region","Zone HH_byBike divided by the Region job-weighted average for HH_byBike. The denominator is sum(act_HH_byBike) divided by sum(Job) for all zones in the file. Values above 1 are above average and values below 1 are below average."
HH_byWalk_rel_Region,"Relative access to households by walk vs Region","Zone HH_byWalk divided by the Region job-weighted average for HH_byWalk. The denominator is sum(act_HH_byWalk) divided by sum(Job) for all zones in the file. Values above 1 are above average and values below 1 are below average."
